execTime = 0; time = 0
execTime = 0.00795453; time = 6.08787
execTime = 0.00800039; time = 6.09587
execTime = 0.00897787; time = 6.10485
execTime = 0.00790027; time = 6.11275
execTime = 0.00799117; time = 6.12074
execTime = 0.00804763; time = 6.12879
execTime = 0.00797355; time = 6.13676
execTime = 0.00796546; time = 6.14473
execTime = 0.00799808; time = 6.15273
execTime = 0.00798023; time = 6.16071
execTime = 0.00794983; time = 6.16866
execTime = 0.00801481; time = 6.17667
execTime = 0.00802413; time = 6.1847
execTime = 0.00806438; time = 6.19276
execTime = 0.00788161; time = 6.20064
execTime = 0.00919272; time = 6.20983
execTime = 0.00818782; time = 6.21802
execTime = 0.00820451; time = 6.22623
execTime = 0.00823529; time = 6.23446
execTime = 0.00818071; time = 6.24264
execTime = 0.00783635; time = 6.25048
execTime = 0.00793485; time = 6.25841
execTime = 0.00796555; time = 6.26638
execTime = 0.007936; time = 6.27432
execTime = 0.00795171; time = 6.28227
execTime = 0.00796452; time = 6.29023
execTime = 0.00849338; time = 6.29873
execTime = 0.00797731; time = 6.3067
execTime = 0.00805747; time = 6.31476
execTime = 0.00803511; time = 6.3228
execTime = 0.00801297; time = 6.33081
execTime = 0.0081412; time = 6.33895
execTime = 0.00811575; time = 6.34707
execTime = 0.00806835; time = 6.35513
execTime = 0.00802483; time = 6.36316
execTime = 0.00803524; time = 6.37119
execTime = 0.00804282; time = 6.37924
execTime = 0.00801794; time = 6.38725
execTime = 0.00795372; time = 6.39521
execTime = 0.00791253; time = 6.40312
execTime = 0.00804706; time = 6.41117
execTime = 0.00795184; time = 6.41912
execTime = 0.00800639; time = 6.42713
execTime = 0.00786887; time = 6.43499
execTime = 0.00798868; time = 6.44298
execTime = 0.00818373; time = 6.45117
execTime = 0.00796021; time = 6.45913
execTime = 0.00799614; time = 6.46712
execTime = 0.00798924; time = 6.47511
execTime = 0.00808386; time = 6.4832
execTime = 0.00797494; time = 6.49117
execTime = 0.00940585; time = 6.50058
execTime = 0.00794507; time = 6.50852
execTime = 0.00793955; time = 6.51646
execTime = 0.00787246; time = 6.52433
execTime = 0.0079484; time = 6.53228
execTime = 0.00793766; time = 6.54022
execTime = 0.00793498; time = 6.54816
execTime = 0.00811107; time = 6.55627
execTime = 0.00808611; time = 6.56435
execTime = 0.00805839; time = 6.57241
execTime = 0.00801233; time = 6.58042
execTime = 0.00800325; time = 6.58843
execTime = 0.00803137; time = 6.59646
execTime = 0.00933359; time = 6.60579
